id,regulated_entity_name,regulated_entity_rn_number,city_county,type_of_air_emissions_event,based_on_the,event_began,event_ended,type_of_emission
506,PARKS BOOSTER COMPRESSOR STATI,RN100226729,"MIDLAND, MIDLAND",EMISSIONS EVENT,INITIAL REPORT,"01/09/2013 
		10:00AM","01/09/2013 
                
",emissions-event
507,GENERIC INCIDENT ZIP CODE 7648,RN104040365,"POOLVILLE, PARKER",,INITIAL REPORT,01/08/2013,01/08/2013,none
508,TILDEN GAS PLANT,RN100216621,"TILDEN, MCMULLEN",EMISSIONS EVENT,FINAL REPORT,"01/10/2013 
		2:00AM","01/10/2013 
                
",emissions-event
509,WRIGHT CITY WSC 1,RN101237063,"TROUP, SMITH",,INITIAL REPORT,01/02/2013,01/10/2013,none
510,ASH GROVE CEMENT,RN100225978,"MIDLOTHIAN, ELLIS",EXCESS OPACITY,INITIAL REPORT,"01/10/2013 
		6:48AM","01/10/2013 
                
",excess-opacity
605,PILGRIMS PRIDE 16-19-20,RN106582208,", CAMP",TSSWCB REFERRAL,FINAL REPORT,04/12/2012,01/15/2013,tsswcb-referral
511,ASH GROVE CEMENT,RN100225978,"MIDLOTHIAN, ELLIS",AIR STARTUP,FINAL REPORT,"01/10/2013 
		2:30PM","01/10/2013 
                
",air-startup
512,CEDAR HILL GAS PLANT,RN102512563,"POST, GARZA",EMISSIONS EVENT,FINAL REPORT,"01/09/2013 
		3:00PM","01/10/2013 
                
",emissions-event
513,UNION CARBIDE TEXAS CITY,RN100219351,"TEXAS CITY, GALVESTON",EMERGENCY RESPONSE,INITIAL REPORT,"01/10/2013 
		10:00AM","01/10/2013 
                
",emergency-response
514,ENTERPRISE EAST,RN102984911,"MONT BELVIEU, CHAMBERS",MAINTENANCE,FINAL REPORT,"01/12/2013 
		1:00AM","01/13/2013 
                
",maintenance
515,GULF COAST FRACTIONATORS,RN100229319,"MONT BELVIEU, CHAMBERS",MAINTENANCE,FINAL REPORT,"01/10/2013 
		4:30AM","01/14/2013 
                
",maintenance
516,KRIPPLE KREEK GAS PLANT,RN105476691,"BOWIE, MONTAGUE",EMISSIONS EVENT,FINAL REPORT,"01/10/2013 
		8:17AM","01/10/2013 
                
",emissions-event
517,FULLERTON GAS PLANT,RN100218684,"ANDREWS, ANDREWS",MAINTENANCE,FINAL REPORT,"01/21/2013 
		12:01AM","01/28/2013 
                
",maintenance
518,GULF COAST FRACTIONATORS,RN100229319,"MONT BELVIEU, CHAMBERS",MAINTENANCE,FINAL REPORT,"01/11/2013 
		4:30AM","01/15/2013 
                
",maintenance
519,WESTWAY TERMINAL,RN100677491,"HOUSTON, HARRIS",EMERGENCY RESPONSE,INITIAL REPORT,"12/10/2012 
		11:00AM","12/10/2012 
                
",emergency-response
520,PARKS BOOSTER COMPRESSOR STATI,RN100226729,"MIDLAND, MIDLAND",EMISSIONS EVENT,FINAL REPORT,"01/10/2013 
		12:00PM","01/10/2013 
                
",emissions-event
521,CINDY TANK BATTERY,RN106106685,"ANDREWS, ANDREWS",EMISSIONS EVENT,FINAL REPORT,"01/11/2013 
		8:00AM","03/13/2013 
                
",emissions-event
522,AIRGAS SPECIALTY GASES,RN101746824,"HOUSTON, HARRIS",EMISSIONS EVENT,INITIAL REPORT,"12/31/2012 
		9:30AM","12/31/2012 
                
",emissions-event
523,DUNN HEAT EXCHANGERS,RN100865401,"TEXAS CITY, GALVESTON",", EMERGENCY RESPONSE",INITIAL REPORT,"12/21/2012 
		11:00PM","01/11/2013 
                
",emergency-response
524,GEO SPECIALTY CHEMICALS,RN100219070,"DEER PARK, HARRIS",MAINTENANCE,FINAL REPORT,"01/14/2013 
		7:00AM","01/15/2013 
                
",maintenance
525,EQUISTAR CHEMICALS LA PORTE CO,RN100210319,"LA PORTE, HARRIS",EMISSIONS EVENT,FINAL REPORT,"01/10/2013 
		2:47PM","01/10/2013 
                
",emissions-event
526,GENERIC INCIDENT ZIP CODE 7971,RN104056742,"ANDREWS, ANDREWS",EMERGENCY RESPONSE,FINAL REPORT,"05/29/2013 
		9:12AM",05/30/2013,emergency-response
527,KRIPPLE KREEK GAS PLANT,RN105476691,"BOWIE, MONTAGUE",EMISSIONS EVENT,FINAL REPORT,"01/10/2013 
		2:43PM","01/11/2013 
                
",emissions-event
528,DOW TEXAS OPERATIONS FREEPORT,RN100225945,"FREEPORT, BRAZORIA",MAINTENANCE,FINAL REPORT,"01/11/2013 
		2:30PM","01/24/2013 
                
",maintenance
529,HOLT RANCH BOOSTER STATION,RN100217272,"TARZAN, MARTIN",MAINTENANCE,FINAL REPORT,"01/22/2013 
		1:00PM","01/22/2013 
                
",maintenance
530,LOVE BOOSTER,RN101964252,"TARZAN, MARTIN",MAINTENANCE,FINAL REPORT,"01/22/2013 
		1:00PM","01/22/2013 
                
",maintenance
531,ROCK CREEK GAS PLANT,RN100216613,"BORGER, HUTCHINSON",EMISSIONS EVENT,FINAL REPORT,"01/11/2013 
		9:00AM","01/11/2013 
                
",emissions-event
532,BLANCHARD REFINING GALVESTON B,RN102535077,"TEXAS CITY, GALVESTON",EMISSIONS EVENT,FINAL REPORT,"01/11/2013 
		9:52AM","01/11/2013 
                
",emissions-event
533,VALERO MCKEE REFINERY,RN100210517,"SUNRAY, MOORE",MAINTENANCE,FINAL REPORT,"01/22/2013 
		7:18AM","01/22/2013 
                
",maintenance
534,RUSSELL COMPRESSOR STATION,RN102554243,"DENVER CITY, GAINES",EMISSIONS EVENT,FINAL REPORT,"01/11/2013 
		11:00AM","01/11/2013 
                
",emissions-event
535,BLANCHARD REFINING GALVESTON B,RN102535077,"TEXAS CITY, GALVESTON",AIR STARTUP,FINAL REPORT,"01/12/2013 
		5:00AM","01/12/2013 
                
",air-startup
536,EUSTACE GAS PLANT,RN102176377,"EUSTACE, HENDERSON",EMISSIONS EVENT,INITIAL REPORT,"01/11/2013 
		4:00AM","01/11/2013 
                
",emissions-event
537,PETERS CREEK,RN107071326,"WESATCHE, GOLIAD",,INITIAL REPORT,"11/13/2012 
		10:15AM","11/15/2015 
                
",none
538,KING RANCH GAS PLANT,RN102488517,"PREMONT, KLEBERG",EMISSIONS EVENT,FINAL REPORT,"01/10/2013 
		11:40PM","01/11/2013 
                
",emissions-event
539,STAWAY RANCH & RV PARK,RN105374755,"MURCHISON, HENDERSON",,INITIAL REPORT,01/11/2013,01/24/2013,none
540,EMERGENCY RESPONSE I-20 MM 313,RN106583115,"PUTNAM, CALLAHAN",EMERGENCY RESPONSE,INITIAL REPORT,"11/04/2012 
		1:00AM","11/04/2012 
                
",emergency-response
571,WAHA GAS PLANT,RN100211408,"FORT STOCKTON, PECOS",EMISSIONS EVENT,FINAL REPORT,"01/14/2013 
		12:00PM","01/16/2013 
                
",emissions-event
541,LCRA SAM SEYMOUR FAYETTE POWER,RN100226844,"LA GRANGE, FAYETTE",EXCESS OPACITY,INITIAL REPORT,"01/09/2013 
		2:54AM","01/10/2013 
                
",excess-opacity
542,EMERGENCY RESPONSE I-20 MM 323,RN106583149,"PUTNAM, CALLAHAN",EMERGENCY RESPONSE,INITIAL REPORT,"12/29/2012 
		2:30AM","12/29/2012 
                
",emergency-response
543,REINECKE CTB AND CO2 RECYCLE F,RN102792637,"GAIL, BORDEN",EMISSIONS EVENT,INITIAL REPORT,"01/10/2013 
		3:00PM","01/10/2013 
                
",emissions-event
544,LCRA SAM SEYMOUR FAYETTE POWER,RN100226844,"LA GRANGE, FAYETTE",AIR STARTUP,FINAL REPORT,"01/10/2013 
		4:19PM","01/11/2013 
                
",air-startup
545,KEYSTONE GAS PLANT,RN100238633,"KERMIT, WINKLER",EMISSIONS EVENT,FINAL REPORT,"01/10/2013 
		7:00PM","01/11/2013 
                
",emissions-event
546,OWENS CORNING ROOFING AND ASPH,RN100225291,"IRVING, DALLAS",MAINTENANCE,FINAL REPORT,"01/27/2013 
		10:18AM","01/27/2013 
                
",maintenance
547,LEHMAN COMPRESSOR STATION,RN102546116,"MORTON, COCHRAN",EMISSIONS EVENT,FINAL REPORT,"01/10/2013 
		9:30PM",01/11/2013,emissions-event
548,FLINT HILLS RESOURCES PORT ART,RN100217389,"PORT ARTHUR, JEFFERSON",EMISSIONS EVENT,FINAL REPORT,"01/12/2012 
		1:25PM","01/12/2012 
                
",emissions-event
549,SHELL OIL DEER PARK,RN100211879,"DEER PARK, HARRIS",EMISSIONS EVENT,FINAL REPORT,"01/10/2013 
		10:00PM","01/11/2013 
                
",emissions-event
550,KEYSTONE CATTLE 404 BATTERY,RN105020036,"KERMIT, WINKLER",EMISSIONS EVENT,FINAL REPORT,"01/11/2013 
		11:10AM","01/11/2013 
                
",emissions-event
551,NORTH RILEY CENTRAL BATTERY,RN100219831,"SEMINOLE, GAINES",EMISSIONS EVENT,FINAL REPORT,"01/11/2013 
		11:00AM","01/11/2013 
                
",emissions-event
552,WEST SEMINOLE SAN ANDRES UNIT ,RN102941358,"SEMINOLE, GAINES",EMISSIONS EVENT,FINAL REPORT,"01/11/2013 
		11:30AM","01/11/2013 
                
",emissions-event
553,CHAP BOOSTER STATION,RN100219427,"MIDLAND, MIDLAND",EMISSIONS EVENT,INITIAL REPORT,"01/11/2013 
		7:00AM","01/11/2013 
                
",emissions-event
554,BLANCHARD REFINING GALVESTON B,RN102535077,"TEXAS CITY, GALVESTON",EMISSIONS EVENT,FINAL REPORT,"01/12/2013 
		4:52AM","01/12/2013 
                
",emissions-event
555,RUSSELL COMPRESSOR STATION,RN102554243,"DENVER CITY, GAINES",EMISSIONS EVENT,FINAL REPORT,"01/12/2013 
		4:00AM","01/12/2013 
                
",emissions-event
556,SALE RANCH GAS PLANT,RN100212653,"STANTON, MARTIN",EMISSIONS EVENT,FINAL REPORT,"01/12/2013 
		4:30AM","01/12/2013 
                
",emissions-event
557,PORT ARTHUR REFINERY,RN100209451,"PORT ARTHUR, JEFFERSON",EMISSIONS EVENT,FINAL REPORT,"01/12/2013 
		7:00AM","01/13/2013 
                
",emissions-event
558,WEST SEMINOLE SAN ANDRES UNIT ,RN102941358,"SEMINOLE, GAINES",EMISSIONS EVENT,FINAL REPORT,01/13/2013,"01/13/2013 
                
",emissions-event
559,REINECKE CTB AND CO2 RECYCLE F,RN102792637,"GAIL, BORDEN",EMISSIONS EVENT,INITIAL REPORT,"01/10/2013 
		3:00PM","01/11/2013 
                
",emissions-event
560,REINECKE CTB AND CO2 RECYCLE F,RN102792637,"GAIL, BORDEN",EMISSIONS EVENT,INITIAL REPORT,"01/12/2013 
		7:00AM","01/13/2013 
                
",emissions-event
561,BENNETT RANCH CENTRAL TANK BAT,RN102418449,"DENVER CITY, YOAKUM",MAINTENANCE,FINAL REPORT,"01/23/2013 
		7:00AM","01/23/2013 
                
",maintenance
562,BLANCHARD REFINING GALVESTON B,RN102535077,"TEXAS CITY, GALVESTON",EMISSIONS EVENT,FINAL REPORT,"01/13/2013 
		12:45PM","01/13/2013 
                
",emissions-event
563,MABEE RANCH C02 PLANT,RN102535796,"MIDLAND, ANDREWS",EMISSIONS EVENT,FINAL REPORT,"01/12/2013 
		8:30PM","01/12/2013 
                
",emissions-event
564,RUSSELL COMPRESSOR STATION,RN102554243,"DENVER CITY, GAINES",EMISSIONS EVENT,FINAL REPORT,"01/12/2013 
		8:30PM","01/15/2013 
                
",emissions-event
565,ASCEND PERFORMANCE MATERIALS C,RN100238682,"ALVIN, BRAZORIA",EMISSIONS EVENT,FINAL REPORT,"01/13/2013 
		12:15AM","01/13/2013 
                
",emissions-event
566,GOLDSMITH C02 PILOT PHASE II F,RN105716047,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"01/13/2013 
		1:00PM","01/21/2013 
                
",emissions-event
567,PARKS BOOSTER COMPRESSOR STATI,RN100226729,"MIDLAND, MIDLAND",EMISSIONS EVENT,INITIAL REPORT,"01/12/2013 
		7:30AM","01/12/2013 
                
",emissions-event
568,GENERIC INCIDENT ZIP CODE 7753,RN104046198,"DAYTON, LIBERTY",EMERGENCY RESPONSE,INITIAL REPORT,"01/13/2013 
		1:00PM",01/14/2013,emergency-response
569,SALT CREEK GAS PLANT,RN101222602,"CLAIREMONT, KENT",MAINTENANCE,FINAL REPORT,"01/21/2013 
		7:00AM","01/27/2013 
                
",maintenance
570,GENERIC INCIDENT ZIP CODE 7800,RN104048038,"ARTESIA WELLS, LA SALLE",EMERGENCY RESPONSE,INITIAL REPORT,"01/13/2013 
		7:08PM","01/13/2013 
                
",emergency-response
572,SAND HILLS WSC,RN101211688,"CENTER, SHELBY",,INITIAL REPORT,01/11/2013,01/22/2013,none
573,CHAP BOOSTER STATION,RN100219427,"MIDLAND, MIDLAND",EMISSIONS EVENT,INITIAL REPORT,"01/12/2013 
		7:30AM","01/12/2013 
                
",emissions-event
574,MCGEE TRUCKING,RN104777271,"AMARILLO, POTTER",,INITIAL REPORT,01/18/2013,02/01/2013,none
575,SOUTHSIDE WATER TREATMENT PLAN,RN102726494,", WILLIAMSON",EMERGENCY RESPONSE,INITIAL REPORT,"01/08/2013 
		4:45PM","01/09/2013 
                
",emergency-response
576,PORT ARTHUR REFINERY,RN100209451,"PORT ARTHUR, JEFFERSON",EMERGENCY RESPONSE,INITIAL REPORT,01/14/2013,01/14/2013,emergency-response
577,MABEE RANCH C02 PLANT,RN102535796,"MIDLAND, ANDREWS",EMISSIONS EVENT,FINAL REPORT,"01/13/2013 
		2:15PM","01/13/2013 
                
",emissions-event
578,KRIPPLE KREEK GAS PLANT,RN105476691,"BOWIE, MONTAGUE",MAINTENANCE,FINAL REPORT,"01/16/2013 
		7:30AM","01/16/2013 
                
",maintenance
579,WEST SEMINOLE SAN ANDRES UNIT ,RN102941358,"SEMINOLE, GAINES",EMISSIONS EVENT,FINAL REPORT,"01/14/2013 
		2:00AM","01/14/2013 
                
",emissions-event
580,BP TEXAS CITY - REFINERY,RN102898178,"TEXAS CITY, GALVESTON",EMERGENCY RESPONSE,INITIAL REPORT,"01/13/2013 
		12:40PM",01/14/2013,emergency-response
581,NORTH ROBERTSON TB 1,RN102499951,"SEMINOLE, GAINES",EMISSIONS EVENT,FINAL REPORT,01/20/2013,"01/28/2013 
                
",emissions-event
582,NORTH ROBERTSON TB 1,RN102499951,"SEMINOLE, GAINES",MAINTENANCE,FINAL REPORT,01/20/2013,"01/28/2013 
                
",maintenance
604,PILGRIMS PRIDE 10,RN106582216,", CAMP",TSSWCB REFERRAL,FINAL REPORT,04/12/2012,01/15/2013,tsswcb-referral
583,CHAP BOOSTER STATION,RN100219427,"MIDLAND, MIDLAND",EMISSIONS EVENT,INITIAL REPORT,"01/14/2013 
		7:00AM","01/14/2013 
                
",emissions-event
584,BRIDGEPORT GAS PLANT,RN100223619,"BRIDGEPORT, WISE",EMISSIONS EVENT,INITIAL REPORT,"01/14/2013 
		4:33AM","01/14/2013 
                
",emissions-event
585,NTR METALS,RN105481022,"DALLAS, DALLAS",,INITIAL REPORT,01/10/2013,01/22/2013,none
586,SOUTHERN UTILITIES,RN101206217,", SMITH",,INITIAL REPORT,01/17/2013,01/18/2013,none
587,ENTERPRISE PRODUCTS MONT BELVI,RN100543107,"MONT BELVIEU, CHAMBERS",MAINTENANCE,FINAL REPORT,"01/15/2013 
		6:00AM","01/15/2013 
                
",maintenance
588,ENTERPRISE EAST,RN102984911,"MONT BELVIEU, CHAMBERS",MAINTENANCE,FINAL REPORT,"01/20/2013 
		6:00AM","01/21/2013 
                
",maintenance
589,FLINT HILLS RESOURCES EAST REF,RN102534138,"CORPUS CHRISTI, NUECES",EMISSIONS EVENT,FINAL REPORT,"01/14/2013 
		6:52AM","01/14/2013 
                
",emissions-event
590,FULLERTON CLEARFORK UNIT SUBBA,RN106416738,"ANDREWS, ANDREWS",EMISSIONS EVENT,FINAL REPORT,"01/14/2013 
		10:00AM","01/15/2013 
                
",emissions-event
591,FULLERTON CLEARFORK 200 5,RN102983533,"ANDREWS, ANDREWS",EMISSIONS EVENT,FINAL REPORT,"01/14/2013 
		10:00AM","01/15/2013 
                
",emissions-event
592,IMPERIAL BOOSTER STATION,RN100209329,"IMPERIAL, CRANE",EMISSIONS EVENT,FINAL REPORT,"01/14/2013 
		9:01AM","01/14/2013 
                
",emissions-event
606,LA PORTE FACILITY,RN102331212,"LA PORTE, HARRIS",EMERGENCY RESPONSE,INITIAL REPORT,"01/12/2013 
		4:30PM",12/31/3000,emergency-response
593,GENERIC INCIDENT ZIP CODE 7804,RN104048368,"LAREDO, WEBB",EMERGENCY RESPONSE,INITIAL REPORT,"12/12/2012 
		3:30PM","12/12/2012 
                
",emergency-response
594,SPILL AT 15500 FM1472 LAREDO,RN106625833,", WEBB",EMERGENCY RESPONSE,INITIAL REPORT,01/08/2012,01/08/2013,emergency-response
595,WEST SEMINOLE SAN ANDRES UNIT ,RN102941358,"SEMINOLE, GAINES",EMISSIONS EVENT,FINAL REPORT,"01/14/2013 
		10:45PM","01/15/2013 
                
",emissions-event
596,NASA JOHNSON SPACE CENTER,RN100665579,"HOUSTON, HARRIS",MAINTENANCE,FINAL REPORT,"01/25/2012 
		8:25AM","01/25/2012 
                
",maintenance
597,HUTTO BOOSTER STATION,RN102550167,"BIG SPRING, HOWARD",EMISSIONS EVENT,FINAL REPORT,"01/14/2013 
		11:00AM","01/14/2013 
                
",emissions-event
598,MABEE RANCH C02 PLANT,RN102535796,"MIDLAND, ANDREWS",EMISSIONS EVENT,FINAL REPORT,"01/15/2013 
		2:49AM","01/15/2013 
                
",emissions-event
599,BRIDGEPORT GAS PLANT,RN100223619,"BRIDGEPORT, WISE",EMISSIONS EVENT,INITIAL REPORT,"01/15/2013 
		7:32AM","01/15/2013 
                
",emissions-event
600,PILGRIMS PRIDE 27,RN106582273,", CAMP",TSSWCB REFERRAL,FINAL REPORT,04/12/2012,01/15/2013,tsswcb-referral
601,KINDER MORGAN WEST CLEAR LAKE ,RN102966454,"PASADENA, HARRIS",EMERGENCY RESPONSE,INITIAL REPORT,"01/15/2013 
		8:30AM",12/31/3000,emergency-response
602,PILGRIMS PRIDE 29,RN106582265,", CAMP",TSSWCB REFERRAL,FINAL REPORT,04/12/2012,01/15/2013,tsswcb-referral
603,PILGRIMS PRIDE 7,RN106582240,", CAMP",TSSWCB REFERRAL,FINAL REPORT,04/12/2012,01/15/2013,tsswcb-referral
607,CITY OF KEMP,RN102218435,"KEMP, KAUFMAN",WASTEWATER BYPASS,FINAL REPORT,"12/25/2012 
		12:00PM","12/26/2012 
                
",wastewater-bypass
608,GENERIC INCIDENT ZIP CODE 7652,RN104040506,"COPPERAS COVE, CORYELL",EMERGENCY RESPONSE,INITIAL REPORT,"01/15/2013 
		2:15PM","01/15/2013 
                
",emergency-response
609,PAYNE SPRINGS WSC,RN101206811,", HENDERSON",,INITIAL REPORT,01/15/2013,01/15/2013,none
610,PILGRIMS PRIDE 8,RN106582182,", CAMP",TSSWCB REFERRAL,FINAL REPORT,04/12/2012,01/25/2013,tsswcb-referral
611,PILGRIMS PRIDE 6,RN106582174,", CAMP",TSSWCB REFERRAL,FINAL REPORT,04/12/2012,01/25/2013,tsswcb-referral
612,PILGRIMS PRIDE 81-9,RN106582141,", CAMP",TSSWCB REFERRAL,FINAL REPORT,04/12/2012,01/25/2013,tsswcb-referral
613,PILGRIMS PRIDE 54,RN106582133,", CAMP",TSSWCB REFERRAL,FINAL REPORT,04/12/2012,01/25/2013,tsswcb-referral
614,PILGRIMS PRIDE 12-82,RN106582125,", CAMP",TSSWCB REFERRAL,FINAL REPORT,04/12/2012,01/25/2013,tsswcb-referral
615,PILGRIMS PRIDE 3,RN106582117,", CAMP",TSSWCB REFERRAL,FINAL REPORT,04/12/2012,01/25/2013,tsswcb-referral
616,TOMMY KING POULTRY,RN106582596,", TITUS",TSSWCB REFERRAL,FINAL REPORT,04/12/2012,01/25/2013,tsswcb-referral
617,COYANOSA GAS PLANT,RN100239698,"COYANOSA, PECOS",EMISSIONS EVENT,FINAL REPORT,"01/15/2013 
		6:00AM","01/16/2013 
                
",emissions-event
618,GENERIC INCIDENT ZIP CODE 7596,RN104037627,"NACOGDOCHES, NACOGDOCHES",EMERGENCY RESPONSE,INITIAL REPORT,01/15/2013,01/15/2013,emergency-response
657,BASF FREEPORT SITE,RN100218049,"FREEPORT, BRAZORIA",BOIL WATER NOTICE (BWN),FINAL REPORT,12/15/2012,12/18/2012,boil-water-notice-bwn
619,BOYD COMPRESSOR STATION,RN100213701,"BIG LAKE, REAGAN",EMISSIONS EVENT,FINAL REPORT,"01/15/2013 
		12:55PM","01/15/2013 
                
",emissions-event
620,RUSSELL COMPRESSOR STATION,RN102554243,"DENVER CITY, GAINES",EMISSIONS EVENT,FINAL REPORT,"01/15/2013 
		6:00PM","01/16/2013 
                
",emissions-event
621,SNEED BOOSTER STATION,RN100220052,"DUMAS, MOORE",EMISSIONS EVENT,FINAL REPORT,"01/16/2013 
		12:43AM","01/16/2013 
                
",emissions-event
622,GENERIC INCIDENT ZIP CODE 7705,RN104043153,"HOUSTON, HARRIS",EMERGENCY RESPONSE,INITIAL REPORT,"01/15/2013 
		8:54PM",12/31/3000,emergency-response
623,MONTE TAYLOR POULTRY BREEDER A,RN106585037,", SAN AUGUSTINE",TSSWCB REFERRAL,INITIAL REPORT,01/07/2013,01/07/2013,tsswcb-referral
624,GENERIC INCIDENT ZIP CODE 7523,RN104033899,"DALLAS, DALLAS",FISH KILL,FINAL REPORT,01/24/2013,01/24/2013,fish-kill
625,BRIDGE TERMINAL TRANSPORT,RN100875137,"HOUSTON, HARRIS",EMERGENCY RESPONSE,INITIAL REPORT,"01/16/2013 
		7:15AM",12/31/3000,emergency-response
626,ANTON CO2 RE-INJECTION FACILIT,RN102167871,"ANTON, HALE",EMISSIONS EVENT,FINAL REPORT,"01/15/2013 
		9:30PM","01/16/2013 
                
",emissions-event
627,DENNIS NIX POULTRY,RN106581770,", MORRIS",TSSWCB REFERRAL,FINAL REPORT,04/12/2012,01/25/2013,tsswcb-referral
628,LH BRIGGS POULTRY,RN106581804,", CAMP",TSSWCB REFERRAL,FINAL REPORT,04/12/2012,01/25/2013,tsswcb-referral
629,LINDA BOOTHE POULTRY,RN106581796,", PANOLA",TSSWCB REFERRAL,FINAL REPORT,04/12/2012,01/25/2013,tsswcb-referral
630,JOANN SINGLETON POULTRY,RN106581788,", BOWIE",TSSWCB REFERRAL,FINAL REPORT,04/12/2012,01/25/2013,tsswcb-referral
631,JIMMY AND BARBARA PARKER POULT,RN106582570,", TITUS",TSSWCB REFERRAL,FINAL REPORT,04/12/2012,01/25/2013,tsswcb-referral
632,REGENCY FIELD SERVICES PIPELIN,RN106073497,"MONAHANS, WARD",MAINTENANCE,FINAL REPORT,"01/16/2013 
		8:00PM","02/12/2013 
                
",maintenance
633,CEDAR LAKE BOOSTER STATION,RN102572211,"LOOP, GAINES",EMISSIONS EVENT,FINAL REPORT,"01/15/2013 
		5:45PM","01/16/2013 
                
",emissions-event
634,CITY OF VALLEY MILLS,RN101385201,", BOSQUE",BOIL WATER NOTICE (BWN),FINAL REPORT,01/09/2013,01/15/2013,boil-water-notice-bwn
635,WESTERN REFINING EL PASO ALL S,RN100213016,"EL PASO, EL PASO",EMERGENCY RESPONSE,FINAL REPORT,01/12/2013,01/12/2013,emergency-response
636,COMMERCIAL METALS OF FORT WORT,RN100582394,"FORT WORTH, TARRANT",EMERGENCY RESPONSE,FINAL REPORT,01/11/2013,04/19/2013,emergency-response
637,QUIKTRIP 973,RN105920292,"HUTCHINS, DALLAS",EMERGENCY RESPONSE,INITIAL REPORT,01/08/2013,04/18/2013,emergency-response
638,GENERIC INCIDENT ZIP CODE 7500,RN104032164,"CARROLLTON, DALLAS",EMERGENCY RESPONSE,INITIAL REPORT,01/08/2013,06/17/2014,emergency-response
639,GENERIC INCIDENT ZIP CODE 7620,RN104039144,"DENTON, DENTON",EMERGENCY RESPONSE,INITIAL REPORT,01/09/2013,06/17/2014,emergency-response
640,GENERIC INCIDENT ZIP CODE 7500,RN104032172,"CARROLLTON, DENTON",EMERGENCY RESPONSE,INITIAL REPORT,01/09/2013,12/31/3000,emergency-response
641,SUNOCO CORSICANA STATION WAREH,RN100216266,"CORSICANA, NAVARRO",EMERGENCY RESPONSE,INITIAL REPORT,01/08/2013,"02/15/2013 
                
",emergency-response
642,CELANESE CLEAR LAKE PLANT,RN100227016,"PASADENA, HARRIS",EMERGENCY RESPONSE,INITIAL REPORT,"01/16/2013 
		1:00AM",12/31/3000,emergency-response
643,SALT CREEK GAS PLANT,RN101222602,"CLAIREMONT, KENT",EMISSIONS EVENT,FINAL REPORT,"01/16/2013 
		6:30AM","01/17/2013 
                
",emissions-event
815,CONSOLIDATED WSC LATEXO PLANT ,RN102687381,"LATEXO, HOUSTON",BOIL WATER NOTICE (BWN),FINAL REPORT,11/26/2012,12/04/2012,boil-water-notice-bwn
644,ALCOA POINT COMFORT OPERATIONS,RN100242577,"POINT COMFORT, CALHOUN",MAINTENANCE,FINAL REPORT,"01/18/2013 
		12:24AM","01/18/2013 
                
",maintenance
645,GENERIC INCIDENT ZIP CODE 7664,RN104041223,"HILLSBORO, HILL",EMERGENCY RESPONSE,INITIAL REPORT,"01/16/2013 
		7:00AM","01/16/2013 
                
",emergency-response
646,RUSSELL COMPRESSOR STATION,RN102554243,"DENVER CITY, GAINES",EMISSIONS EVENT,FINAL REPORT,"01/16/2013 
		1:00PM","01/26/2013 
                
",emissions-event
647,WEST SEMINOLE SAN ANDRES UNIT ,RN102941358,"SEMINOLE, GAINES",EMISSIONS EVENT,FINAL REPORT,"01/16/2013 
		3:00PM","01/20/2013 
                
",emissions-event
648,KM LIQUIDS TERMINALS PASADENA ,RN104766043,"PASADENA, HARRIS",EMERGENCY RESPONSE,INITIAL REPORT,"01/16/2013 
		8:30PM",01/17/2013,emergency-response
649,AIR PRODUCTS PORT ARTHUR PLANT,RN101941284,"PORT ARTHUR, JEFFERSON",,FINAL REPORT,01/17/2013,01/17/2013,none
650,B C Y WSC,RN101437713,", ANDERSON",BOIL WATER NOTICE (BWN),FINAL REPORT,12/10/2012,12/13/2012,boil-water-notice-bwn
651,BASTROP COUNTY MUD 1,RN102692555,"BASTROP, BASTROP",BOIL WATER NOTICE (BWN),FINAL REPORT,12/09/2012,12/11/2012,boil-water-notice-bwn
652,GENERIC INCIDENT ZIP CODE 7702,RN104042809,"HOUSTON, HARRIS","EMERGENCY RESPONSE, FISH KILL",INITIAL REPORT,"01/14/2013 
		7:05PM",01/15/2013,emergency-response-fish-kill
653,CITY OF LEARY,RN105016166,", BOWIE",BOIL WATER NOTICE (BWN),FINAL REPORT,12/26/2012,12/27/2012,boil-water-notice-bwn
654,BOB DERRINGTON WWP,RN101614261,"ODESSA, MIDLAND",WASTEWATER BYPASS,INITIAL REPORT,"01/16/2013 
		7:30PM","01/16/2013 
                
",wastewater-bypass
655,DUKE ENERGY FIELD SERVICES PIP,RN104204235,", SUTTON",EMISSIONS EVENT,INITIAL REPORT,"01/16/2013 
		1:45PM","01/16/2013 
                
",emissions-event
656,CONOCOPHILLIPS SWEENY PLANT,RN101652030,"SWEENY, BRAZORIA",BOIL WATER NOTICE (BWN),FINAL REPORT,12/14/2012,12/17/2012,boil-water-notice-bwn
658,GENERIC INCIDENT ZIP CODE 7993,RN104057724,"EL PASO, EL PASO",EMERGENCY RESPONSE,INITIAL REPORT,"02/05/2013 
		12:30PM","02/05/2013 
                
",emergency-response
659,EAGLES BLUFF,RN101179240,", CHEROKEE",BOIL WATER NOTICE (BWN),FINAL REPORT,11/30/2012,12/01/2012,boil-water-notice-bwn
660,CITY OF COPPERAS COVE WATER SY,RN101385409,", CORYELL",BOIL WATER NOTICE (BWN),FINAL REPORT,01/07/2013,01/11/2013,boil-water-notice-bwn
