id,contaminant,limit,amount_released
490,Hydrogen Sulfide,0,55.0 lbs (est.)
491,NOX,0,459.0 lbs (est.)
492,Non-Methane Non-Ethane Natural Gas,0,1295.0 lbs (est.)
493,Sulfur dioxide,0,5092.0 lbs (est.)
494,"Butane, N-",5000.0 lbs,544.0 lbs (est.)
495,"Butane, i",5000.0 lbs,157.0 lbs (est.)
496,Carbon Monoxide,5000.0 lbs,2726.0 lbs (est.)
497,Hexanes,5000.0 lbs,419.0 lbs (est.)
498,Hydrogen Sulfide,100.0 lbs,356.0 lbs (est.)
499,NOX,5000.0 lbs,1365.0 lbs (est.)
500,"Pentane, N-",5000.0 lbs,220.0 lbs (est.)
501,Propane,5000.0 lbs,1133.0 lbs (est.)
502,Sulfur dioxide,500.0 lbs,33541.0 lbs (est.)
503,"pentane, iso-",5000.0 lbs,157.0 lbs (est.)
504,Carbon Monoxide,0,285.0 lbs (est.)
505,Hydrogen Sulfide,0,18.0 lbs (est.)
506,NOX,0,143.0 lbs (est.)
507,Non-Methane Non-Ethane Natural Gas,0,418.0 lbs (est.)
508,Sulfur dioxide,0,1687.0 lbs (est.)
509,Carbon Monoxide,0,430.0 lbs (est.)
510,Hydrogen Sulfide,0,19.0 lbs (est.)
511,NOX,0,215.0 lbs (est.)
512,Non-Methane Non-Ethane Natural Gas,0,612.0 lbs (est.)
513,Sulfur dioxide,0,1774.0 lbs (est.)
514,Carbon Monoxide,0,702.0 lbs (est.)
515,Hydrogen Sulfide,0,18.0 lbs (est.)
516,NOX,0,352.0 lbs (est.)
517,Non-Methane Non-Ethane Natural Gas,0,943.0 lbs (est.)
518,Sulfur dioxide,0,1677.0 lbs (est.)
519,Carbon Monoxide,0,316.0 lbs (est.)
520,Hydrogen Sulfide,0,16.0 lbs (est.)
521,NOX,0,158.0 lbs (est.)
522,Non-Methane Non-Ethane Natural Gas,0,481.0 lbs (est.)
523,Sulfur dioxide,0,1456.0 lbs (est.)
524,Carbon Monoxide,0,691.0 lbs (est.)
525,Hydrogen Sulfide,0,42.0 lbs (est.)
526,NOX,0,346.0 lbs (est.)
527,Non-Methane Non-Ethane Natural Gas,0,1089.0 lbs (est.)
528,Sulfur dioxide,0,3895.0 % op (est.)
529,Carbon Monoxide,0,471.0 lbs (est.)
530,Hydrogen Sulfide,0,11.0 lbs (est.)
531,NOX,0,236.0 lbs (est.)
532,Non-Methane Non-Ethane Natural Gas,0,588.0 lbs (est.)
533,Sulfur dioxide,0,1042.0 lbs (est.)
534,"Butane, N-",0,2323.5 lbs (est.)
535,"Butane, i",0,770.9 lbs (est.)
536,Carbon Monoxide,0,15462.3 lbs (est.)
537,Hydrogen Sulfide,0,0.25 lbs (est.)
538,Nitrogen dioxide,0,1936.3 lbs (est.)
539,Nitrogen oxide,0,5808.9 lbs (est.)
540,"Pentane, N-",0,481.8 lbs (est.)
541,Propane,0,3273.7 lbs (est.)
542,Sulfur dioxide (anhydrous),0,23.66 lbs (est.)
543,hexanes +,0,408.4 lbs (est.)
544,"pentane, iso-",0,472.7 lbs (est.)
545,Carbon Monoxide,5000.0 lbs,133.0 lbs (est.)
546,Hydrogen Sulfide,100.0 lbs,6.0 lbs (est.)
547,NATURAL GAS,5000.0 lbs,135.0 lbs (est.)
548,Nitrogen Oxides (NOx),5000.0 lbs,66.0 lbs (est.)
549,Sulfur dioxide,500.0 lbs,573.0 lbs (est.)
550,Carbon Monoxide,5000.0 lbs,1668.0 lbs (est.)
551,Hydrogen Sulfide,100.0 lbs,51.0 lbs (est.)
552,NATURAL GAS,5000.0 lbs,1596.0 lbs (est.)
553,Nitrogen Oxides (NOx),5000.0 lbs,836.0 lbs (est.)
554,Sulfur dioxide,500.0 lbs,4747.0 lbs (est.)
555,Carbon Monoxide,0,30.42 lbs (est.)
556,Hydrogen Sulfide,0,9.15 lbs (est.)
557,NATURAL GAS,0,33.41 lbs (est.)
558,Nitrogen Oxides,0,3.55 lbs (est.)
559,Sulfur dioxide,0,860.13 lbs (est.)
560,Carbon Monoxide,0,56.82 lbs (est.)
561,Hydrogen Sulfide,0,17.1 lbs (est.)
562,NATURAL GAS,0,62.43 lbs (est.)
563,Nitrogen Oxides,0,6.63 lbs (est.)
564,Sulfur dioxide,0,1606.9 lbs (est.)
565,Carbon Monoxide,5000.0 lbs,221.0 lbs (est.)
566,Hydrogen Sulfide,100.0 lbs,32.0 lbs (est.)
567,NATURAL GAS,5000.0 lbs,237.0 lbs (est.)
568,Nitrogen Oxides (NOx),5000.0 lbs,111.0 lbs (est.)
569,Sulfur dioxide,500.0 lbs,2912.0 lbs (est.)
570,Carbon Monoxide,5000.0 lbs,50.0 lbs (est.)
571,Hydrogen Sulfide,100.0 lbs,17.0 lbs (est.)
572,NATURAL GAS,5000.0 lbs,65.0 lbs (est.)
573,Nitrogen Oxides (NOx),5000.0 lbs,25.0 lbs (est.)
574,Sulfur dioxide,500.0 lbs,1594.0 lbs (est.)
575,Carbon Monoxide,5000.0 lbs,80.0 lbs (est.)
576,Hydrogen Sulfide,100.0 lbs,15.0 lbs (est.)
577,NATURAL GAS,5000.0 lbs,118.0 lbs (est.)
578,Nitrogen Oxides (NOx),5000.0 lbs,40.0 lbs (est.)
623,Nitrogen Oxides,0.88 LBS/HR,1.18 lbs (est.)
579,Sulfur dioxide,500.0 lbs,1378.0 lbs (est.)
580,Carbon Monoxide,0.3 TONS/YR,107.26 lbs (est.)
581,Hydrogen Sulfide,0,5.9 lbs (est.)
582,NATURAL GAS,0,154.29 lbs (est.)
583,Nitrogen Oxides,0.04 TONS/YR,53.73 lbs (est.)
584,Sulfur dioxide,0.01 TONS/YR,577.16 lbs (est.)
585,Carbon Monoxide,5000.0 lbs,233.0 lbs (est.)
586,Hydrogen Sulfide,100.0 lbs,49.0 lbs (est.)
587,NATURAL GAS,5000.0 lbs,282.0 lbs (est.)
588,Nitrogen Oxides (NOx),5000.0 lbs,117.0 lbs (est.)
589,Sulfur dioxide,500.0 lbs,4500.0 lbs (est.)
590,Carbon Monoxide,5000.0 lbs,91.0 lbs (est.)
591,Hydrogen Sulfide,100.0 lbs,25.0 lbs (est.)
592,NATURAL GAS,5000.0 lbs,125.0 lbs (est.)
593,Nitrogen Oxides (NOx),5000.0 lbs,46.0 lbs (est.)
594,Sulfur dioxide,500.0 lbs,2274.0 lbs (est.)
595,Carbon Monoxide,5000.0 lbs,135.0 lbs (est.)
596,Hydrogen Sulfide,100.0 lbs,11.0 lbs (est.)
597,NATURAL GAS,5000.0 lbs,154.0 lbs (est.)
598,Nitrogen Oxides (NOx),5000.0 lbs,68.0 lbs (est.)
599,Sulfur dioxide,500.0 lbs,1010.0 lbs (est.)
600,Carbon Monoxide,5000.0 lbs,394.0 lbs (est.)
601,Hydrogen Sulfide,100.0 lbs,42.0 lbs (est.)
602,NATURAL GAS,5000.0 lbs,427.0 lbs (est.)
603,Nitrogen Oxides (NOx),5000.0 lbs,197.0 lbs (est.)
604,Sulfur dioxide,500.0 lbs,3906.0 lbs (est.)
605,NATURAL GAS,0.28 TONS/YR,13772.44 lbs (est.)
606,NATURAL GAS,0.63 TONS/YR,5921.95 lbs (est.)
607,Carbon Monoxide,5000.0 lbs,33.0 lbs (est.)
608,Hydrogen Sulfide,100.0 lbs,13.0 lbs (est.)
609,NATURAL GAS,5000.0 lbs,46.0 lbs (est.)
610,Nitrogen Oxides (NOx),5000.0 lbs,17.0 lbs (est.)
611,Sulfur dioxide,500.0 lbs,1242.0 lbs (est.)
612,Carbon Monoxide,5000.0 lbs,247.0 lbs (est.)
613,Hydrogen Sulfide,100.0 lbs,22.0 lbs (est.)
614,NATURAL GAS,5000.0 lbs,390.0 lbs (est.)
615,Nitrogen Oxides (NOx),5000.0 lbs,124.0 lbs (est.)
616,Sulfur dioxide,500.0 lbs,1990.0 lbs (est.)
617,Carbon Monoxide,8.87 TONS/YR,55.99 lbs (est.)
618,Hydrogen Sulfide,0,5.23 lbs (est.)
619,NATURAL GAS,0,54.291 lbs (est.)
620,Nitrogen Oxides (NOx),8.81 TONS/YR,28.05 lbs (est.)
621,Sulfur dioxide,0,511.87 lbs (est.)
622,Carbon Monoxide,1.71 LBS/HR,10.14 lbs (est.)
624,Opacity,15.0 % op,25.0 % op (est.)
625,VOCs,2.69 LBS/HR,0.07 lbs (est.)
626,Butane,0,86.4761 lbs (est.)
627,Carbon Monoxide,0,2626.7259 lbs (est.)
628,Hexane Plus,0,2.1731 lbs (est.)
629,Isobutane,0,2.9314 lbs (est.)
630,Nitrogen dioxide,0,76.5889 lbs (est.)
631,Nitrogen oxide,0,229.7668 lbs (est.)
632,Pentane,0,1.8194 lbs (est.)
633,Propane,0,24.4363 lbs (est.)
634,"pentane, iso-",0,1.8194 lbs (est.)
635,Butane,0,86.4761 lbs (est.)
636,Carbon Monoxide,0,2626.7259 lbs (est.)
637,Hexane Plus,0,2.1731 lbs (est.)
638,Isobutane,0,2.9314 lbs (est.)
639,Nitrogen dioxide,0,76.5889 lbs (est.)
640,Nitrogen oxide,0,229.7668 lbs (est.)
641,Pentane,0,1.8194 lbs (est.)
642,Propane,0,24.4636 lbs (est.)
643,"pentane, iso-",0,1.8194 lbs (est.)
644,Hydrogen Sulfide,0,0.97 lbs (est.)
645,NATURAL GAS,0,30796.18 lbs (est.)
646,Opacity,20.0 % op,100.0 % op (est.)
647,Carbon Monoxide,141.6 LBS/HR,90.0 lbs (est.)
648,Nitrogen Oxides,201.86 LBS/HR,2200.0 lbs (est.)
649,Particulate Matter,34.8 LBS/HR,14000.0 lbs (est.)
650,Sulfur dioxide,290.45 LBS/HR,250.0 lbs (est.)
651,Carbon Monoxide,0,90.0 lbs (est.)
652,Particulate Matter,0,10000.0 lbs (est.)
653,Sulfur dioxide,0,250.0 lbs (est.)
654,"1,3-BUTADIENE",239.81 LBS/HR,1.0 lbs (est.)
655,Butane,239.81 LBS/HR,175.0 lbs (est.)
656,C5+ (not including benzene),239.81 LBS/HR,400.0 lbs (est.)
657,Carbon Monoxide,161.39 LBS/HR,20.0 lbs (est.)
658,Cis-2-butene,239.81 LBS/HR,17.0 lbs (est.)
659,Ethylene (gaseous),239.81 LBS/HR,8.0 lbs (est.)
660,Isobutylene,239.81 LBS/HR,45.0 lbs (est.)
661,Nitrogen Oxides,31.68 LBS/HR,823.0 lbs (est.)
662,Propane,239.81 LBS/HR,106.0 lbs (est.)
663,Sulfur dioxide,11.86 LBS/HR,20.0 lbs (est.)
664,Trans-2-butene,239.81 LBS/HR,23.0 lbs (est.)
665,Carbon Monoxide,0,9.33 lbs (est.)
666,Hydrogen Sulfide,0,6.36 lbs (est.)
667,Nitrogen Oxides,0,1.09 lbs (est.)
668,Sulfur dioxide,0,592.72 lbs (est.)
669,VOC,0,2.38 lbs (est.)
670,Carbon Monoxide,5000.0 lbs,13.41 lbs (est.)
671,Hydrogen Sulfide,100.0 lbs,12.9 lbs (est.)
672,Nitrogen monoxide,5000.0 lbs,1.49 lbs (est.)
673,Opacity,5.0 % op,5.0 % op (est.)
674,Sulfur dioxide,500.0 lbs,1189.69 lbs (est.)
675,Carbon Monoxide,5000.0 lbs,39.37 lbs (est.)
676,Hydrogen Sulfide,100.0 lbs,37.87 lbs (est.)
677,Nitrogen monoxide,5000.0 lbs,4.36 lbs (est.)
678,Opacity,5.0 % op,5.0 % op (est.)
679,Sulfur dioxide,500.0 lbs,3493.09 lbs (est.)
680,Benzene,0,6.73 lbs (est.)
681,Butane,0,985.54 lbs (est.)
682,Carbon Monoxide,0,12484.34 lbs (est.)
683,Ethylbenzene,0,0.42 lbs (est.)
684,"Heptane,-n",0,64.57 lbs (est.)
685,"Hexane, i",0,386.02 lbs (est.)
686,Isobutane,0,283.46 lbs (est.)
687,Isopentane,0,264.17 lbs (est.)
688,Octane,0,7.89 lbs (est.)
689,Oxides of Nitrogen (NOx),0,2294.42 lbs (est.)
690,Pentane,0,287.02 lbs (est.)
691,"Propane, N-",0,2314.01 lbs (est.)
692,Toluene,0,6.05 lbs (est.)
693,Xylene,0,1.51 lbs (est.)
694,decane,0,1.54 lbs (est.)
695,Ethylene (gaseous),100.0 lbs,653.0 lbs (est.)
696,Opacity,20.0 % op,32.0 % op (est.)
697,"Propane, N-",6.0 LBS/HR,36.0 lbs (est.)
698,Carbon Monoxide,0,100.0 % op (est.)
699,Hydrogen Sulfide,0,100.0 % op (est.)
700,Natural Gas VOCs,0,100.0 % op (est.)
701,Nitrogen oxide,0,100.0 % op (est.)
702,Sulfur dioxide,0,100.0 % op (est.)
703,Carbon Monoxide,5000.0 lbs,13.05 lbs (est.)
704,Hydrogen Sulfide,100.0 lbs,12.56 lbs (est.)
705,Nitrogen monoxide,5000.0 lbs,1.45 lbs (est.)
706,Opacity,5.0 % op,5.0 % op (est.)
707,Sulfur dioxide,500.0 lbs,1158.19 lbs (est.)
708,Carbon Monoxide,5000.0 lbs,13.05 lbs (est.)
709,Hydrogen Sulfide,100.0 lbs,12.56 lbs (est.)
710,Nitrogen monoxide,5000.0 lbs,1.45 lbs (est.)
711,Opacity,5.0 % op,5.0 % op (est.)
712,Sulfur dioxide,500.0 lbs,1158.19 lbs (est.)
713,Carbon Monoxide,0.19 LBS/HR,173.0 lbs (est.)
714,Hydrogen Sulfide,0,7.2 lbs (est.)
715,Non-Methane Non-Ethane Natural Gas,0.01 LBS/HR,18.0 lbs (est.)
716,Oxides of Nitrogen (NOx),0.02 LBS/HR,20.2 lbs (est.)
717,Sulfur dioxide,0.04 LBS/HR,664.0 lbs (est.)
718,Opacity,30.0 % op,30.0 % op (est.)
719,"Propane, N-",5000.0 lbs,6000.0 lbs (est.)
720,Hydrogen Sulfide,0,2.88 lbs (est.)
721,NATURAL GAS,0,91191.82 lbs (est.)
722,Carbon Monoxide,7.89 TONS/YR,152.35 lbs (est.)
723,Hydrogen Sulfide,0.42 TONS/YR,14.87 lbs (est.)
724,Nitrogen Oxides (NOx),1.47 TONS/YR,76.31 lbs (est.)
725,Sulfur dioxide,38.87 TONS/YR,1455.67 lbs (est.)
726,"Butane, N-",0,27.3 lbs (est.)
727,"Butane, i",0,16.9 lbs (est.)
728,Carbon Monoxide,0,8929.7 lbs (est.)
729,Nitrogen dioxide,0,1118.2 lbs (est.)
730,Nitrogen oxide,0,3354.7 lbs (est.)
731,Propane,0,500.1 lbs (est.)
732,"pentane, iso-",0,1.1 lbs (est.)
733,"Butane, N-",0.001 lbs,181.0 lbs (est.)
734,"Butane, i",0.001 lbs,61.0 lbs (est.)
735,Carbon Monoxide,0.001 lbs,1000.0 lbs (est.)
736,Hydrogen Sulfide,0.001 lbs,10.0 lbs (est.)
737,NOX,0.001 lbs,501.0 lbs (est.)
738,"Pentane, N-",0.001 lbs,74.0 lbs (est.)
739,Propane,0.001 lbs,408.0 lbs (est.)
740,Sulfur dioxide,0.001 lbs,939.0 lbs (est.)
741,hexanes +,0.001 lbs,60.0 lbs (est.)
742,"pentane, iso-",0.001 lbs,51.0 lbs (est.)
743,Opacity,10.0 % op,40.0 % op (est.)
744,Acetylene,13.3 TONS/YR,884.86 lbs (est.)
745,Butadiene,13.3 TONS/YR,1476.55 lbs (est.)
746,Carbon Monoxide,61.83 TONS/YR,33857.56 lbs (est.)
747,Ethylene (gaseous),13.3 TONS/YR,37579.52 lbs (est.)
748,Heptane (or n-),13.3 TONS/YR,160.49 lbs (est.)
749,Isoprene,13.3 TONS/YR,336.4 lbs (est.)
750,Methyl Acetylene,13.3 TONS/YR,213.26 lbs (est.)
751,Nitrogen oxide,12.13 TONS/YR,12.13 lbs (est.)
752,Nonane,13.3 TONS/YR,1374.3 lbs (est.)
753,Pentene,13.3 TONS/YR,356.34 lbs (est.)
754,Propadiene,13.3 TONS/YR,142.71 lbs (est.)
755,Toluene,13.3 TONS/YR,1728.29 lbs (est.)
756,Xylene,13.3 TONS/YR,2090.56 lbs (est.)
757,Ethylene (gaseous),22.22 LBS/HR,200.0 lbs (est.)
758,Methyl Acetate,34.14 LBS/HR,200.0 lbs (est.)
759,Methanol,5.24 LBS/HR,5000.0 lbs (est.)
760,Opacity,10.0 % op,25.0 % op (est.)
761,Carbon Monoxide,141.6 LBS/HR,9.32 lbs (est.)
762,Nitrogen Oxides,201.86 LBS/HR,11.54 lbs (est.)
763,Particulate Matter,34.8 LBS/HR,713.0 lbs (est.)
764,Sulfur dioxide,290.45 LBS/HR,24.54 lbs (est.)
765,Carbon Monoxide,0,3.6 lbs (est.)
766,Nitrogen oxide,0,23.36 lbs (est.)
767,Particulate Matter,0,10200.0 lbs (est.)
768,Sulfur dioxide,0,35.03 lbs (est.)
769,Butane,239.81 LBS/HR,19.76 lbs (est.)
770,Butene,239.81 LBS/HR,5.21 lbs (est.)
771,C5+ (not including benzene),239.81 LBS/HR,42.52 lbs (est.)
772,Carbon Monoxide,239.81 LBS/HR,51.18 lbs (est.)
773,Ethylene (gaseous),239.81 LBS/HR,3.23 lbs (est.)
774,Nitrogen Oxides,239.81 LBS/HR,10.04 lbs (est.)
775,Sulfur dioxide,239.81 LBS/HR,2.0 lbs (est.)
776,Carbon Monoxide,5000.0 lbs,11.0 lbs (est.)
777,Hydrogen Sulfide,100.0 lbs,5.0 lbs (est.)
778,NATURAL GAS,5000.0 lbs,16.0 lbs (est.)
779,Nitrogen Oxides (NOx),5000.0 lbs,6.0 lbs (est.)
780,Sulfur dioxide,500.0 lbs,429.0 lbs (est.)
781,CO,0,592.7 lbs (est.)
782,Hydrogen Sulfide,0,32.28 lbs (est.)
783,NOX,0,296.89 lbs (est.)
784,Natural Gas VOCs,0,961.73 lbs (est.)
785,Sulfur dioxide,0,3033.86 lbs (est.)
786,Mercury,0,0.0078 gals
787,Butane,0,7.41 lbs (est.)
788,"Butane, i",0,4.2 lbs (est.)
789,Hexane Plus,0,66.67 lbs (est.)
790,Hydrogen Sulfide,0,1084.0 lbs (est.)
791,"Pentane, N-",0,3.68 lbs (est.)
792,"Propane, N-",0,9.37 lbs (est.)
793,"pentane, iso-",0,1.99 lbs (est.)
794,NATURAL GAS,0,6520.0 lbs (est.)
795,Sewage,0,9093.0 gals (est.)
796,C5+ (not including benzene),0.26 LBS/HR,100.0 lbs (est.)
797,Isobutane,0.26 LBS/HR,1000.0 lbs (est.)
798,n-butane,0.26 LBS/HR,7000.0 lbs (est.)
799,C5+ (not including benzene),76.63 LBS/HR,25.0 lbs (est.)
800,Carbon Monoxide,119.25 LBS/HR,100.0 lbs (est.)
801,Isobutane,76.63 LBS/HR,25.0 lbs (est.)
802,Nitrogen oxide,77.97 LBS/HR,100.0 lbs (est.)
803,n-butane,76.63 LBS/HR,100.0 lbs (est.)
804,Particulate Matter,25.0 % op,50.0 % op (est.)
805,Ethylene oxide,0,7000.0 lbs (est.)
806,Benzene,0,7.9 lbs (est.)
807,Petroleum Naphtha; Light Steam-Cracked Aromatic,0,585.0 lbs (est.)
808,Carbon Monoxide,0,9.06 lbs (est.)
809,Hydrogen Sulfide,0,6.18 lbs (est.)
810,Nitrogen Oxides,0,1.06 lbs (est.)
811,Sulfur dioxide,0,575.79 lbs (est.)
812,VOC,0,2.31 lbs (est.)
813,Opacity,20.0 % op,35.0 % op (est.)
814,Carbon Monoxide,0,16.0 lbs (est.)
815,Hydrogen Sulfide,0,10.91 lbs (est.)
816,Nitrogen Oxides,0,1.86 lbs (est.)
817,Sulfur dioxide,0,1016.06 lbs (est.)
818,VOC,0,4.07 lbs (est.)
819,Sewage,0,300.0 gals (est.)
820,Carbon Monoxide,0.19 LBS/HR,26695.0 lbs (est.)
821,Hydrogen Sulfide,0,879.2 lbs (est.)
822,Non-Methane Non-Ethane Natural Gas,0.01 LBS/HR,4538.0 lbs (est.)
823,Oxides of Nitrogen (NOx),0.02 LBS/HR,3113.5 lbs (est.)
824,Sulfur dioxide,0.04 LBS/HR,81089.0 lbs (est.)
825,Diesel fuel,0,50.0 gals (est.)
826,Sewage,0,30.0 gals (est.)
827,Carbon Monoxide,0,1804.0 lbs (est.)
828,Hydrogen Sulfide,0,178.9 lbs (est.)
829,Non-Methane Non-Ethane Natural Gas,0,1120.0 lbs (est.)
830,Oxides of Nitrogen (NOx),0,210.4 lbs (est.)
831,Sulfur dioxide,0,16498.0 lbs (est.)
832,Benzene,0,35.0 lbs (est.)
833,Cyclohexane,0,675.0 lbs (est.)
834,VOCs,0,4.0 lbs (est.)
835,Sewage,0,87000.0 gals (est.)
836,Diesel fuel,0,50.0 gals (est.)
837,Calcined Alumina Dust,4.04 LBS/HR,3.01 lbs (est.)
838,Opacity,7.0 % op,90.654 % op (est.)
839,Calcined Alumina Dust,4.04 LBS/HR,2.77 lbs (est.)
840,Opacity,7.0 % op,88.978 % op (est.)
841,Carbon Monoxide,5000.0 lbs,796.0 lbs (est.)
842,Hydrogen Sulfide,100.0 lbs,37.0 lbs (est.)
843,NATURAL GAS,5000.0 lbs,812.0 lbs (est.)
844,Nitrogen Oxides (NOx),5000.0 lbs,399.0 lbs (est.)
845,Sulfur dioxide,500.0 lbs,3441.0 lbs (est.)
846,Sewage,0,2500.0 gals (est.)
847,Carbon Monoxide,5000.0 lbs,857.0 lbs (est.)
848,Hydrogen Sulfide,100.0 lbs,10.0 lbs (est.)
849,NATURAL GAS,5000.0 lbs,723.0 lbs (est.)
850,Nitrogen Oxides (NOx),5000.0 lbs,429.0 lbs (est.)
851,Sulfur dioxide,500.0 lbs,928.0 lbs (est.)
852,Fuel oil 6,0,70.0 bbls (est.)
853,Carbon Monoxide,0,100.0 % op (est.)
854,Hydrogen Sulfide,0,100.0 % op (est.)
855,Natural Gas VOCs,0,100.0 % op (est.)
856,Nitrogen oxide,0,100.0 % op (est.)
857,Sulfur dioxide,0,100.0 % op (est.)
858,Carbon Monoxide,0.65 TONS/YR,155.43 lbs (est.)
859,Hydrogen Sulfide,0.01 TONS/YR,10.35 lbs (est.)
860,NATURAL GAS,0.06 TONS/YR,181.05 lbs (est.)
861,Nitrogen dioxide,0,3.89 lbs (est.)
862,Nitrogen oxide,0.16 TONS/YR,73.97 lbs (est.)
863,Sulfur dioxide,0.2 TONS/YR,953.31 lbs (est.)
864,Carbon Monoxide,5000.0 lbs,43.0 lbs (est.)
865,Hydrogen Sulfide,100.0 lbs,18.0 lbs (est.)
866,NATURAL GAS,5000.0 lbs,60.0 lbs (est.)
867,Nitrogen Oxides (NOx),5000.0 lbs,22.0 lbs (est.)
868,Sulfur dioxide,500.0 lbs,1626.0 lbs (est.)
869,Carbon Monoxide,5000.0 lbs,111.0 lbs (est.)
870,Hydrogen Sulfide,100.0 lbs,14.0 lbs (est.)
871,NATURAL GAS,5000.0 lbs,87.0 lbs (est.)
872,Nitrogen Oxides (NOx),5000.0 lbs,55.0 lbs (est.)
873,Sulfur dioxide,500.0 lbs,1252.0 lbs (est.)
874,Carbon Monoxide,5000.0 lbs,87.0 lbs (est.)
875,Hydrogen Sulfide,100.0 lbs,9.0 lbs (est.)
876,NATURAL GAS,5000.0 lbs,81.0 lbs (est.)
877,Nitrogen Oxides (NOx),5000.0 lbs,44.0 lbs (est.)
878,Sulfur dioxide,500.0 lbs,873.0 lbs (est.)
879,Carbon Monoxide,0.19 LBS/HR,691.0 lbs (est.)
880,Hydrogen Sulfide,0,21.3 lbs (est.)
881,Non-Methane Non-Ethane Natural Gas,0.01 LBS/HR,110.0 lbs (est.)
882,Oxides of Nitrogen (NOx),0.02 LBS/HR,80.6 lbs (est.)
883,Sulfur dioxide,0.04 LBS/HR,1963.0 lbs (est.)
884,Opacity,10.0 % op,40.0 % op (est.)
885,Opacity,10.0 % op,100.0 % op (est.)
886,Opacity,10.0 % op,100.0 % op (est.)
887,Opacity,10.0 % op,100.0 % op (est.)
888,"Butane, N-",0.001 lbs,115.0 lbs (est.)
889,"Butane, i",0.001 lbs,33.0 lbs (est.)
890,Carbon Monoxide,0.001 lbs,474.0 lbs (est.)
891,Hexanes,0.001 lbs,89.0 lbs (est.)
892,Hydrogen Sulfide,0.001 lbs,49.0 lbs (est.)
893,NOX,0.001 lbs,238.0 lbs (est.)
894,"Pentane, N-",0.001 lbs,48.0 lbs (est.)
895,Propane,0.001 lbs,217.0 lbs (est.)
896,Sulfur dioxide,0.001 lbs,4581.0 lbs (est.)
897,"pentane, iso-",0.001 lbs,34.0 lbs (est.)
898,"Butane, N-",0.001 lbs,194.0 lbs (est.)
899,"Butane, i",0.001 lbs,62.0 lbs (est.)
900,Carbon Monoxide,0.001 lbs,489.0 lbs (est.)
901,Hydrogen Sulfide,0.001 lbs,32.0 lbs (est.)
902,NOX,0.001 lbs,245.0 lbs (est.)
903,"Pentane, N-",0.001 lbs,61.0 lbs (est.)
904,Propane,0.001 lbs,452.0 lbs (est.)
905,Sulfur dioxide,0.001 lbs,2983.0 lbs (est.)
906,hexanes +,0.001 lbs,68.0 lbs (est.)
907,"pentane, iso-",0.001 lbs,43.0 lbs (est.)
908,Benzene,0,25.9 lbs (est.)
909,Butane,0,3792.0 lbs (est.)
910,Carbon Monoxide,0,30701.7 lbs (est.)
911,Ethylbenzene,0,1.7 lbs (est.)
912,Heptane (or n-),0,249.0 lbs (est.)
913,Hexane,0,1486.0 lbs (est.)
914,Isobutane,0,1091.0 lbs (est.)
915,Isopentane,0,1017.0 lbs (est.)
916,Nitrogen Oxides (NOx),0,5643.0 lbs (est.)
917,Octane,0,31.4 lbs (est.)
918,Pentane,0,1105.0 lbs (est.)
919,Propane,0,8903.0 lbs (est.)
920,Toluene,0,23.3 lbs (est.)
921,Xylene,0,5.9 lbs (est.)
922,decane,0,6.0 lbs (est.)
923,Diesel fuel,0,80.0 gals (est.)
924,Sewage,0,25.0 gals (est.)
925,CONDENSATE,0,Unknown
926,Crude Oil,0,Unknown
927,Drilling mud (oil/gas related),0,Unknown
928,Sewage,0,25000.0 gals (est.)
929,Carbon Monoxide,2209.9 LBS/HR,12000.0 lbs (est.)
930,Carbon Monoxide,5000.0 lbs,323.0 lbs (est.)
931,Hydrogen Sulfide,100.0 lbs,19.0 lbs (est.)
932,Nitrogen Oxides,5000.0 lbs,162.0 lbs (est.)
933,Sulfur dioxide,500.0 lbs,1755.0 lbs (est.)
934,VOC (light hydrocarbons),5000.0 lbs,332.0 lbs (est.)
935,Carbon Monoxide,5000.0 lbs,346.0 lbs (est.)
936,Hydrogen Sulfide,100.0 lbs,29.0 lbs (est.)
937,Nitrogen Oxides (NOx),5000.0 lbs,173.0 lbs (est.)
938,Sulfur dioxide,500.0 lbs,2651.0 lbs (est.)
939,VOC (light hydrocarbons),5000.0 lbs,419.0 lbs (est.)
940,Diesel fuel,0,50.0 gals (est.)
941,OIL,0,175.0 gals
942,DIESEL OIL #2/GUAR GUM,0,50.0 gals (est.)
943,"Butane, N-",0.001 lbs,34.0 lbs (est.)
944,"Butane, i",0.001 lbs,12.0 lbs (est.)
945,Carbon Monoxide,0.001 lbs,130.0 lbs (est.)
946,Hydrogen Sulfide,0.001 lbs,7.0 lbs (est.)
947,NOX,0.001 lbs,65.0 lbs (est.)
948,"Pentane, N-",0.001 lbs,9.0 lbs (est.)
949,Propane,0.001 lbs,84.0 lbs (est.)
950,Sulfur dioxide,0.001 lbs,700.0 lbs (est.)
951,hexanes +,0.001 lbs,11.0 lbs (est.)
952,"pentane, iso-",0.001 lbs,8.0 lbs (est.)
953,"Butane, N-",0.001 lbs,29.0 lbs (est.)
954,"Butane, i",0.001 lbs,10.0 lbs (est.)
955,Carbon Monoxide,0.001 lbs,98.0 lbs (est.)
956,Hydrogen Sulfide,0.001 lbs,6.0 lbs (est.)
957,NOX,0.001 lbs,49.0 lbs (est.)
958,"Pentane, N-",0.001 lbs,7.0 lbs (est.)
959,Propane,0.001 lbs,72.0 lbs (est.)
960,Sulfur dioxide,0.001 lbs,546.0 lbs (est.)
